replicate,generation,p
A,0,0.5
A,1,0.65
A,2,0.72
A,3,0.8
A,4,0.81
A,5,0.84
A,6,0.85
A,7,0.9
A,8,0.89
A,9,0.91
A,10,0.95
A,11,0.93
A,12,0.92
B,0,0.5
B,1,0.7
B,2,0.77
B,3,0.81
B,4,0.82
B,5,0.87
B,6,0.87
B,7,0.88
B,8,0.91
B,9,0.93
B,10,0.93
B,11,0.94
B,12,0.93
