Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,4,A,16,A16,VIL-1,VIL,Vercors,1980,South,I,487.2,18,428.827,1401.2,942,25,944.2,685.41,21.5
High elevation,4,D,1,D1,FGAL-Q,FGAL,Lautaret,2600,North,TR,1461.6,18,1044.58,1534,4474.5,25,1497.8,2759.54,21.5
High elevation,4,E,14,E14,CHA-19,CHA,Vercors,1480,North,R,665.6,18,735.133,4590,2669,25,2627.8,1702.07,21.5
High elevation,5,D,5,D5,VIL-7,VIL,Vercors,1980,South,I,1201.2,27,2656.217,0,981.25,16,600.6,1818.73,21.5
High elevation,1,A,14,A14,bordure,bordure,NA,NA,NA,I,360,9,432.754,667,1785.875,35,513.5,1109.32,22
High elevation,1,A,7,A7,bordure,bordure,NA,NA,NA,I,1074,22,2474.004,,,,1074,2474,22
High elevation,1,B,19,B19,PIC-13,PIC,Lautaret,2930,South,TR,1176,22,1343.031,,,,1176,1343.03,22
High elevation,1,E,2,E2,F107-4,F107,Vercors,1704,NA,R,3546.2,24,1649.336,13675.2,5887.5,20,8610.7,3768.42,22
High elevation,2,A,8,A8,bordure,bordure,NA,NA,NA,I,432,19,805.033,1159.666667,1727,25,795.83,1266.02,22
High elevation,2,C,1,C1,BRU-9,BRU,Vercors,930,South,I,594,22,155.509,,,,594,155.51,22
High elevation,2,D,3,D3,bordure,bordure,NA,NA,NA,R,0,22,848.23,,,,0,848.23,22
High elevation,2,E,2,E2,GAL-13,GAL,Lautaret,2590,North,R,376.8,22,871.792,0,,,188.4,871.79,22
High elevation,3,D,6,D6,F107-4,F107,Vercors,1704,NA,NR,1302.4,24,772.832,1688.4,1766.25,20,1495.4,1269.54,22
High elevation,3,E,11,E11,GAL-10,GAL,Lautaret,2590,North,R,293.8,22,647.953,,19.625,,293.8,333.79,22
High elevation,4,A,20,A20,FGAL-130,FGAL,Lautaret,2600,North,TR,331.2,34,1439.635,260.8,2551.25,10,296,1995.44,22
High elevation,5,B,1,B1,bordure,bordure,NA,NA,NA,I,910.2,34,1343.816,1351.6,785,10,1130.9,1064.41,22
High elevation,5,C,13,C13,VIL-13,VIL,Vercors,1980,South,I,2744,24,1387.799,2722.4,2472.75,20,2733.2,1930.27,22
High elevation,5,D,17,D17,bordure,bordure,NA,NA,NA,NR,2872.8,19,311.018,8576.8,9537.75,25,5724.8,4924.38,22
High elevation,5,D,10,D10,CHA-16,CHA,Vercors,1480,North,NR,3677.378,39,973.108,1749,1020.5,5,2713.19,996.8,22
High elevation,5,D,1,D1,GAL-7,GAL,Lautaret,2590,North,R,213.4,22,740.63,,,,213.4,740.63,22
High elevation,3,A,7,A7,bordure,bordure,NA,NA,NA,NR,1518,25,163.363,2398.666667,2198,20,1958.33,1180.68,22.5
High elevation,3,D,12,D12,BRU-14,BRU,Vercors,930,South,I,297.6,20,854.513,0,883.125,25,148.8,868.82,22.5
High elevation,1,D,20,D20,VIL-13,VIL,Vercors,1980,South,NR,1485.2,23,1519.745,,,,1485.2,1519.75,23
High elevation,2,A,6,A6,CHA-14,CHA,Vercors,1480,North,NR,1164.4,23,640.885,,,,1164.4,640.89,23
High elevation,2,B,15,B15,LAU-2,LAU,Lautaret,2090,North,NA,65,23,779.115,,,,65,779.12,23
High elevation,2,B,12,B12,F107-42,F107,Vercors,1704,NA,R,1757.2,21,622.035,1205.6,2296.125,25,1481.4,1459.08,23
High elevation,3,B,14,B14,FGAL-Q,FGAL,Lautaret,2600,North,I,712.4,23,549.779,,,,712.4,549.78,23
High elevation,3,E,19,E19,bordure,bordure,NA,NA,NA,I,196,23,628.319,,,,196,628.32,23
High elevation,3,E,1,E1,FGAL-133,FGAL,Lautaret,2600,North,R,205.2,23,805.819,,,,205.2,805.82,23
High elevation,4,D,18,D18,F005-31,F005,Vercors,1842,NA,NR,1171.8,23,1184.38,,,,1171.8,1184.38,23
High elevation,4,D,16,D16,F005-18,F005,Vercors,1842,NA,NR,1956,23,518.363,,,,1956,518.36,23
High elevation,4,D,12,D12,LAU-7,LAU,Lautaret,2090,North,R,441.6,23,653.451,,,,441.6,653.45,23
High elevation,4,E,13,E13,FGAL-123,FGAL,Lautaret,2600,North,R,397.8,23,907.92,,,,397.8,907.92,23
High elevation,4,E,1,E1,F029-31,F029,Lautaret,1894,NA,R,977.6,23,753.982,,,,977.6,753.98,23
High elevation,5,B,9,B9,F005-19,F005,Vercors,1842,NA,NR,4165.2,26,490.088,5414.4,706.5,20,4789.8,598.29,23
High elevation,5,C,14,C14,CHA-10,CHA,Vercors,1480,North,NR,4022.8,36,1633.628,2776.8,5357.625,10,3399.8,3495.63,23
High elevation,5,D,4,D4,LAU-1,LAU,Lautaret,2090,North,NR,1262.8,23,881.217,,,,1262.8,881.22,23
High elevation,5,B,17,B17,bordure,bordure,NA,NA,NA,I,1010.8,17,340.863,3749.6,2590.5,30,2380.2,1465.68,23.5
High elevation,5,B,14,B14,F107-45,F107,Vercors,1704,NA,I,10592.2,27,2269.801,41202.33333,14836.5,20,25897.27,8553.15,23.5
High elevation,5,E,15,E15,FGAL-123,FGAL,Lautaret,2600,North,R,1474,27,1215.796,151,1373.75,20,812.5,1294.77,23.5
High elevation,2,B,6,B6,PIC-13,PIC,Lautaret,2930,South,R,348.8,24,1046.15,,,,348.8,1046.15,24
High elevation,2,B,5,B5,F005-35,F005,Vercors,1842,NA,NR,917,13,19.635,1958.4,1511.125,35,1437.7,765.38,24
High elevation,2,D,5,D5,BRU-18,BRU,Vercors,930,South,NR,918,24,233.263,,,,918,233.26,24
High elevation,2,E,1,E1,VIL-10,VIL,Vercors,1980,South,R,0,23,659.734,3011.555556,1177.5,25,1505.78,918.62,24
High elevation,3,A,3,A3,FGAL-130,FGAL,Lautaret,2600,North,TR,851.2,24,417.832,,,,851.2,417.83,24
High elevation,3,B,13,B13,GAL-2,GAL,Lautaret,2590,North,R,0,24,728.849,,,,0,728.85,24
High elevation,3,D,7,D7,LAU-3,LAU,Lautaret,2090,North,R,0,24,1492.257,,,,0,1492.26,24
High elevation,4,A,14,A14,GAL-19,GAL,Lautaret,2590,North,I,1568,24,1079.922,,785,,1568,932.46,24
High elevation,4,C,1,C1,bordure,bordure,NA,NA,NA,R,604.8,24,1220.509,,,,604.8,1220.51,24
High elevation,5,A,6,A6,F029-23,F029,Lautaret,1894,NA,I,169,24,259.181,,,,169,259.18,24
High elevation,5,C,7,C7,VIL-12,VIL,Vercors,1980,South,I,1938,33,2583.96,3906,4121.25,15,2922,3352.61,24
High elevation,5,E,11,E11,bordure,bordure,NA,NA,NA,I,1883.4,24,1884.956,,,,1883.4,1884.96,24
High elevation,2,A,20,A20,GAL-2,GAL,Lautaret,2590,North,R,1611.2,24,1119.192,330,1099,25,970.6,1109.1,24.5
High elevation,4,D,10,D10,VIL-12,VIL,Vercors,1980,South,I,649.8,29,1385.442,885.6,1373.75,20,767.7,1379.6,24.5
High elevation,5,A,10,A10,BRU-19,BRU,Vercors,930,South,I,1929.6,24,955.044,2951.6,4415.625,25,2440.6,2685.34,24.5
High elevation,1,A,17,A17,CHA-10,CHA,Vercors,1480,North,NR,5104.2,15,1809.557,2025.666667,4945.5,35,3564.93,3377.53,25
High elevation,2,C,19,C19,F029-27,F029,Lautaret,1894,NA,I,1328,20,455.531,279,1177.5,30,803.5,816.52,25
High elevation,2,E,6,E6,VIL-11,VIL,Vercors,1980,South,R,114,15,678.584,553.6,3532.5,35,333.8,2105.54,25
High elevation,4,D,2,D2,F005-32,F005,Vercors,1842,NA,I,2197.6,30,2167.699,5812.8,5024,20,4005.2,3595.85,25
High elevation,4,E,5,E5,bordure,bordure,NA,NA,NA,I,0,25,641.67,,,,0,641.67,25
High elevation,5,B,10,B10,F005-30,F005,Vercors,1842,NA,NR,4694.4,20,863.938,2505,2221.9425,30,3599.7,1542.94,25
High elevation,5,C,20,C20,F107-40,F107,Vercors,1704,NA,I,3954.6,40,3760.486,690.2,1884,10,2322.4,2822.24,25
High elevation,5,C,19,C19,CHA-6,CHA,Vercors,1480,North,NR,3864.6,20,395.841,4165,4710,30,4014.8,2552.92,25
High elevation,5,C,18,C18,FGAL-127,FGAL,Lautaret,2600,North,R,1116,25,1068.142,,,,1116,1068.14,25
High elevation,5,D,8,D8,PIC-11,PIC,Lautaret,2930,South,R,0,25,984.889,,,,0,984.89,25
Low elevation,1,C,9,C9,F029-22,F029,Lautaret,1894,NA,S,0,25,78.54,,,,0,78.54,25
Low elevation,1,D,4,D4,F107-41,F107,Vercors,1704,NA,S,0,25,392.699,,,,0,392.7,25
Low elevation,2,C,17,C17,PIC-16,PIC,Lautaret,2930,South,S,0,25,706.858,,,,0,706.86,25
Low elevation,3,A,6,A6,BRU-8,BRU,Vercors,930,South,NR,18765.867,25,18692.476,,,,18765.87,18692.48,25
Low elevation,3,B,5,B5,BRU-1,BRU,Vercors,930,South,NR,8834.533,25,2827.433,,,,8834.53,2827.43,25
Low elevation,3,D,9,D9,F029-22,F029,Lautaret,1894,NA,S,236.25,25,117.81,,,,236.25,117.81,25
Low elevation,3,E,20,E20,BRU-19,BRU,Vercors,930,South,I,8145.333,25,4712.389,,,,8145.33,4712.39,25
High elevation,3,C,8,C8,VIL-11,VIL,Vercors,1980,South,R,360,21,565.487,2491.625,2551.25,30,1425.81,1558.37,25.5
High elevation,4,B,19,B19,F107-41,F107,Vercors,1704,NA,R,354,36,1352.456,861.8,1727,15,607.9,1539.73,25.5
High elevation,4,C,19,C19,BRU-1,BRU,Vercors,930,South,I,2467.6,31,650.31,110,686.875,20,1288.8,668.59,25.5
High elevation,5,E,13,E13,GAL-6,GAL,Lautaret,2590,North,TR,1322.4,26,1771.073,572,1942.875,25,947.2,1856.97,25.5
High elevation,1,E,20,E20,bordure,bordure,NA,NA,NA,I,0,26,812.887,,,,0,812.89,26
High elevation,2,C,8,C8,bordure,bordure,NA,NA,NA,I,389.2,26,805.819,,,,389.2,805.82,26
High elevation,3,A,16,A16,CHA-14,CHA,Vercors,1480,North,R,1179,22,1255.066,2730,3571.75,30,1954.5,2413.41,26
High elevation,3,D,2,D2,BRU-8,BRU,Vercors,930,South,I,510.6,27,2254.093,80.4,1236.375,25,295.5,1745.23,26
High elevation,4,B,13,B13,GAL-6,GAL,Lautaret,2590,North,I,748.8,26,1256.637,,,,748.8,1256.64,26
High elevation,4,D,9,D9,GAL-13,GAL,Lautaret,2590,North,R,236.6,26,1319.469,,588.75,,236.6,954.11,26
High elevation,5,B,5,B5,GAL-19,GAL,Lautaret,2590,North,R,84,26,1308.473,,,,84,1308.47,26
High elevation,5,D,6,D6,F005-35,F005,Vercors,1842,NA,NR,1950,32,149.226,1386,942,20,1668,545.61,26
High elevation,1,B,8,B8,VIL-5,VIL,Vercors,1980,South,I,943,18,1336.748,25,1766.25,35,484,1551.5,26.5
High elevation,2,C,15,C15,bordure,bordure,NA,NA,NA,R,354.2,28,1046.936,533.6,1099,25,443.9,1072.97,26.5
High elevation,1,A,9,A9,F107-40,F107,Vercors,1704,NA,R,466.2,19,1562.157,2950,3454,35,1708.1,2508.08,27
High elevation,1,B,4,B4,bordure,bordure,NA,NA,NA,NA,0,27,490.874,,,,0,490.87,27
High elevation,1,D,3,D3,F029-27,F029,Lautaret,1894,NA,I,2083.2,27,2443.374,,,,2083.2,2443.37,27
High elevation,1,D,1,D1,PIC-4,PIC,Lautaret,2930,South,I,259.2,27,1413.717,,,,259.2,1413.72,27
High elevation,1,E,9,E9,GAL-7,GAL,Lautaret,2590,North,I,505.4,27,1248.783,,,,505.4,1248.78,27
High elevation,2,A,15,A15,BRU-8,BRU,Vercors,930,South,NR,1596,27,379.347,,,,1596,379.35,27
High elevation,3,A,17,A17,CHA-5,CHA,Vercors,1480,North,I,0,27,1256.637,,,,0,1256.64,27
High elevation,3,B,11,B11,LAU-1,LAU,Lautaret,2090,North,R,805,27,1451.416,,,,805,1451.42,27
High elevation,4,A,13,A13,bordure,bordure,NA,NA,NA,R,973.4,27,1335.177,,,,973.4,1335.18,27
High elevation,4,A,6,A6,GAL-8,GAL,Lautaret,2590,North,TR,1500,27,2085.232,,,,1500,2085.23,27
High elevation,4,B,15,B15,CHA-16,CHA,Vercors,1480,North,I,668.8,27,973.894,,,,668.8,973.89,27
High elevation,4,B,9,B9,VIL-13,VIL,Vercors,1980,South,I,564.4,27,1346.958,,,,564.4,1346.96,27
High elevation,5,A,9,A9,bordure,bordure,NA,NA,NA,R,500.4,27,628.319,,,,500.4,628.32,27
High elevation,5,D,16,D16,LAU-14,LAU,Lautaret,2090,North,I,507,27,1328.894,,,,507,1328.89,27
High elevation,5,D,12,D12,bordure,bordure,NA,NA,NA,I,1193.4,24,1244.071,2782.4,2472.75,30,1987.9,1858.41,27
High elevation,5,D,2,D2,CHA-5,CHA,Vercors,1480,North,I,1041.4,44,2726.117,910.2,2374.625,10,975.8,2550.37,27
High elevation,2,A,1,A1,CHA-17,CHA,Vercors,1480,North,I,586.8,20,1390.155,1925.6,8635,35,1256.2,5012.58,27.5
High elevation,2,B,2,B2,BRU-19,BRU,Vercors,930,South,I,766.8,20,636.173,1004.5,2669,35,885.65,1652.59,27.5
High elevation,2,D,12,D12,VIL-19,VIL,Vercors,1980,South,I,765.6,15,949.546,2423.6,4415.625,40,1594.6,2682.59,27.5
High elevation,3,B,19,B19,F107-40,F107,Vercors,1704,NA,R,284,25,622.035,2579.2,3022.25,30,1431.6,1822.14,27.5
High elevation,3,E,6,E6,CHA-17,CHA,Vercors,1480,North,NR,1621.4,35,3232.699,579.6,1530.75,20,1100.5,2381.72,27.5
High elevation,5,A,12,A12,CHA-19,CHA,Vercors,1480,North,I,2053.6,25,1625.774,3870.4,7143.5,30,2962,4384.64,27.5
High elevation,5,A,4,A4,CHA-14,CHA,Vercors,1480,North,I,2046,30,1522.102,2268,1570,25,2157,1546.05,27.5
High elevation,5,B,3,B3,GAL-10,GAL,Lautaret,2590,North,R,1177.8,30,1225.221,695,1648.5,25,936.4,1436.86,27.5
High elevation,5,E,9,E9,BRU-16,BRU,Vercors,930,South,I,3492,30,1149.823,1115.4,1570,25,2303.7,1359.91,27.5
High elevation,1,A,18,A18,CHA-17,CHA,Vercors,1480,North,I,1982.2,16,5581.825,6825,17642.875,40,4403.6,11612.35,28
High elevation,1,B,6,B6,BRU-14,BRU,Vercors,930,South,R,1510,28,2159.845,,,,1510,2159.85,28
High elevation,1,C,16,C16,F005-18,F005,Vercors,1842,NA,NR,3549,31,805.819,6091.2,1511.125,25,4820.1,1158.47,28
High elevation,1,C,1,C1,F005-25,F005,Vercors,1842,NA,NR,1696,28,1237.002,,,,1696,1237,28
High elevation,3,B,5,B5,F005-39,F005,Vercors,1842,NA,NR,464.4,28,339.292,,,,464.4,339.29,28
High elevation,3,D,4,D4,F107-43,F107,Vercors,1704,NA,I,429.4,21,574.126,1166.4,3238.125,35,797.9,1906.13,28
High elevation,4,C,10,C10,FGAL-127,FGAL,Lautaret,2600,North,R,316,28,570.199,,,,316,570.2,28
High elevation,5,B,12,B12,GAL-1,GAL,Lautaret,2590,North,I,2132,28,453.96,,,,2132,453.96,28
High elevation,5,C,11,C11,bordure,bordure,NA,NA,NA,NR,1271.4,26,2482.644,3879.6,4396,30,2575.5,3439.32,28
High elevation,2,B,20,B20,F107-3,F107,Vercors,1704,NA,R,2210,32,1054.004,5950,3238.125,25,4080,2146.07,28.5
High elevation,2,B,10,B10,F005-25,F005,Vercors,1842,NA,R,748.8,22,614.181,1049.454545,2826,35,899.13,1720.09,28.5
High elevation,2,C,10,C10,bordure,bordure,NA,NA,NA,R,93,17,1005.31,190.4,1275.625,40,141.7,1140.47,28.5
High elevation,3,D,3,D3,F005-25,F005,Vercors,1842,NA,I,1500.4,17,413.905,4282.6,1884,40,2891.5,1148.95,28.5
High elevation,5,A,11,A11,CHA-15,CHA,Vercors,1480,North,I,4320,17,1394.082,10621.2,6888.375,40,7470.6,4141.23,28.5
High elevation,5,B,13,B13,F107-41,F107,Vercors,1704,NA,I,1362.2,37,647.953,1161.6,1373.75,20,1261.9,1010.85,28.5
High elevation,1,B,13,B13,GAL-8,GAL,Lautaret,2590,North,TR,727.6,33,827.81,194,2119.5,25,460.8,1473.66,29
High elevation,1,C,18,C18,F107-5,F107,Vercors,1704,NA,R,2082.8,23,1649.336,5432.514286,11539.5,35,3757.66,6594.42,29
High elevation,1,D,13,D13,bordure,bordure,NA,NA,NA,R,204.8,29,954.259,,,,204.8,954.26,29
High elevation,2,C,20,C20,bordure,bordure,NA,NA,NA,R,272,33,954.259,0,549.5,25,136,751.88,29
High elevation,2,D,19,D19,F107-40,F107,Vercors,1704,NA,I,2339.2,23,1481.261,3960,2590.5,35,3149.6,2035.88,29
High elevation,3,C,6,C6,FGAL-P,FGAL,Lautaret,2600,North,TR,488,29,633.031,,,,488,633.03,29
High elevation,4,A,3,A3,LAU-11,LAU,Lautaret,2090,North,NA,57,29,1228.363,,,,57,1228.36,29
High elevation,4,C,8,C8,F107-5,F107,Vercors,1704,NA,R,499.2,21,980.177,3926.2,3925,37,2212.7,2452.59,29
High elevation,4,E,18,E18,F107-40,F107,Vercors,1704,NA,NA,2082.4,29,1163.96,,,,2082.4,1163.96,29
High elevation,5,C,12,C12,F005-18,F005,Vercors,1842,NA,NR,1140,29,593.761,,,,1140,593.76,29
High elevation,5,C,4,C4,FGAL-130,FGAL,Lautaret,2600,North,R,123.2,29,1187.522,,,,123.2,1187.52,29
High elevation,1,E,18,E18,F005-30,F005,Vercors,1842,NA,NR,1276,19,276.46,1318.8,3532.5,40,1297.4,1904.48,29.5
High elevation,2,C,18,C18,CHA-16,CHA,Vercors,1480,North,NR,1512,24,812.887,1092,7418.25,35,1302,4115.57,29.5
High elevation,2,C,9,C9,bordure,bordure,NA,NA,NA,R,270,29,722.566,235.2,2590.5,30,252.6,1656.53,29.5
High elevation,2,E,16,E16,BRU-20,BRU,Vercors,930,South,I,588,30,376.991,,,,588,376.99,30
High elevation,2,E,15,E15,bordure,bordure,NA,NA,NA,R,122.4,15,879.646,3861,8124.75,45,1991.7,4502.2,30
High elevation,2,E,8,E8,VIL-5,VIL,Vercors,1980,South,I,1033.6,15,1868.462,3299.6,4415.625,45,2166.6,3142.04,30
High elevation,3,E,20,E20,CHA-15,CHA,Vercors,1480,North,NR,2040,30,3604.978,,,,2040,3604.98,30
High elevation,4,E,2,E2,LAU-2,LAU,Lautaret,2090,North,R,899,40,2119.004,0,1884,20,449.5,2001.5,30
High elevation,5,A,5,A5,bordure,bordure,NA,NA,NA,I,436.8,30,2002.765,,,,436.8,2002.77,30
Low elevation,1,A,20,A20,PIC-13,PIC,Lautaret,2930,South,TR,5751.667,30,2827.433,,,,5751.67,2827.43,30
Low elevation,1,A,9,A9,FGAL-129,FGAL,Lautaret,2600,North,S,0,30,78.54,,,,0,78.54,30
Low elevation,1,A,1,A1,BRU-1,BRU,Vercors,930,South,NR,11814.4,30,12016.592,,,,11814.4,12016.59,30
Low elevation,1,B,13,B13,BRU-15,BRU,Vercors,930,South,NR,35587.2,30,12095.132,,,,35587.2,12095.13,30
Low elevation,1,D,13,D13,LAU-11,LAU,Lautaret,2090,North,S,0,30,314.159,,,,0,314.16,30
Low elevation,2,A,5,A5,VIL-15,VIL,Vercors,1980,South,NR,25601.467,30,4398.23,,,,25601.47,4398.23,30
Low elevation,2,D,12,D12,VIL-11,VIL,Vercors,1980,South,S,146,30,176.715,,,,146,176.72,30
Low elevation,2,E,13,E13,BRU-8,BRU,Vercors,930,South,NR,18007.2,30,8207.411,,,,18007.2,8207.41,30
Low elevation,3,A,12,A12,GAL-19,GAL,Lautaret,2590,North,TR,4812.75,30,3534.292,,,,4812.75,3534.29,30
Low elevation,3,A,5,A5,F005-32,F005,Vercors,1842,NA,TR,11498.667,30,6911.504,,,,11498.67,6911.5,30
Low elevation,3,B,20,B20,FGAL-130,FGAL,Lautaret,2600,North,TR,3351.6,30,3573.562,,,,3351.6,3573.56,30
Low elevation,3,B,15,B15,GAL-8,GAL,Lautaret,2590,North,TR,4973.5,30,2356.194,,,,4973.5,2356.19,30
Low elevation,3,B,8,B8,PIC-13,PIC,Lautaret,2930,South,TR,6086.65,30,6911.504,,,,6086.65,6911.5,30
Low elevation,3,B,6,B6,CHA-14,CHA,Vercors,1480,North,NR,10267.2,30,11309.734,,,,10267.2,11309.73,30
Low elevation,3,C,11,C11,BRU-18,BRU,Vercors,930,South,NR,8454.933,30,7853.982,,,,8454.93,7853.98,30
Low elevation,3,D,18,D18,CHA-14,CHA,Vercors,1480,North,NR,24211,30,10367.256,,,,24211,10367.26,30
Low elevation,3,D,12,D12,F029-30,F029,Lautaret,1894,NA,S,0,30,176.715,,,,0,176.72,30
Low elevation,3,E,4,E4,bordure,bordure,NA,NA,NA,S,0,30,157.08,,,,0,157.08,30
High elevation,1,B,9,B9,LAU-2,LAU,Lautaret,2090,North,R,990,36,507.367,1195.6,2119.5,25,1092.8,1313.43,30.5
High elevation,1,D,17,D17,BRU-9,BRU,Vercors,930,South,I,1965.6,21,1767.146,2574,5338,40,2269.8,3552.57,30.5
High elevation,1,E,17,E17,F005-39,F005,Vercors,1842,NA,I,391.2,27,1295.907,1668.45,942,34,1029.83,1118.95,30.5
High elevation,2,B,8,B8,VIL-8,VIL,Vercors,1980,South,I,128,26,1168.672,1006.4,5298.75,35,567.2,3233.71,30.5
High elevation,3,B,18,B18,BRU-18,BRU,Vercors,930,South,I,471.6,31,907.135,719.2,1785.875,30,595.4,1346.51,30.5
High elevation,3,D,11,D11,F005-19,F005,Vercors,1842,NA,I,805,26,863.938,3534,2158.75,35,2169.5,1511.34,30.5
High elevation,3,E,10,E10,CHA-19,CHA,Vercors,1480,North,NR,2339.2,11,507.367,11239.56667,2590.5,50,6789.38,1548.93,30.5
High elevation,4,D,19,D19,VIL-8,VIL,Vercors,1980,South,R,312.4,31,1602.212,1971.2,6005.25,30,1141.8,3803.73,30.5
High elevation,1,A,12,A12,FGAL-131,FGAL,Lautaret,2600,North,R,754,31,961.327,0,1177.5,,377,1069.41,31
High elevation,1,A,8,A8,VIL-19,VIL,Vercors,1980,South,I,1673.2,32,534.071,1041.6,1589.625,30,1357.4,1061.85,31
High elevation,1,A,2,A2,bordure,bordure,NA,NA,NA,I,889.6,31,1300.619,,,,889.6,1300.62,31
High elevation,1,C,2,C2,GAL-18,GAL,Lautaret,2590,North,I,3000.8,31,3063.053,,,,3000.8,3063.05,31
High elevation,1,E,14,E14,VIL-7,VIL,Vercors,1980,South,R,320,12,1738.872,1278.466667,5769.75,50,799.23,3754.31,31
High elevation,2,D,7,D7,CHA-5,CHA,Vercors,1480,North,I,780.8,17,922.843,592.2,2590.5,45,686.5,1756.67,31
High elevation,5,C,15,C15,FGAL-P,FGAL,Lautaret,2600,North,R,1896,31,1365.807,,,,1896,1365.81,31
High elevation,5,E,16,E16,F029-27,F029,Lautaret,1894,NA,I,5404,42,1253.495,1216,2590.5,20,3310,1922,31
High elevation,5,E,17,E17,FGAL-Q,FGAL,Lautaret,2600,North,TR,489.6,38,1914.801,1830,3846.5,25,1159.8,2880.65,31.5
High elevation,2,E,18,E18,GAL-10,GAL,Lautaret,2590,North,R,1120,29,1996.482,125,3925,35,622.5,2960.74,32
High elevation,4,A,17,A17,LAU-1,LAU,Lautaret,2090,North,R,741,32,1610.066,,,,741,1610.07,32
High elevation,4,C,16,C16,BRU-8,BRU,Vercors,930,South,I,1416.8,32,469.668,,,,1416.8,469.67,32
High elevation,5,D,19,D19,LAU-8,LAU,Lautaret,2090,North,R,0,32,1249.568,,,,0,1249.57,32
High elevation,2,C,6,C6,CHA-19,CHA,Vercors,1480,North,I,1935.2,35,2254.093,577.6,5887.5,30,1256.4,4070.8,32.5
High elevation,1,B,12,B12,GAL-10,GAL,Lautaret,2590,North,R,825,31,1319.469,1803.6,2826,35,1314.3,2072.73,33
High elevation,1,B,5,B5,VIL-8,VIL,Vercors,1980,South,NA,0,33,2356.194,,,,0,2356.19,33
High elevation,1,C,5,C5,F107-42,F107,Vercors,1704,NA,I,3321.6,26,2332.633,21196.3125,6868.75,40,12258.96,4600.69,33
High elevation,1,E,4,E4,LAU-1,LAU,Lautaret,2090,North,R,786.6,33,1990.984,,,,786.6,1990.98,33
High elevation,3,D,8,D8,GAL-7,GAL,Lautaret,2590,North,I,414,33,492.445,,,,414,492.45,33
High elevation,4,A,7,A7,bordure,bordure,NA,NA,NA,R,0,33,760.265,,,,0,760.27,33
High elevation,5,D,18,D18,bordure,bordure,NA,NA,NA,I,0,33,1531.526,,,,0,1531.53,33
High elevation,5,B,11,B11,LAU-3,LAU,Lautaret,2090,North,I,1284.4,37,1229.934,1727.8,4396,30,1506.1,2812.97,33.5
High elevation,2,A,4,A4,F005-39,F005,Vercors,1842,NA,NR,1006.4,18,58.905,4168.4,1256,50,2587.4,657.45,34
High elevation,3,A,20,A20,GAL-8,GAL,Lautaret,2590,North,TR,1008,34,813.672,,,,1008,813.67,34
High elevation,4,E,20,E20,BRU-15,BRU,Vercors,930,South,I,620.4,43,1017.876,1248,1727,25,934.2,1372.44,34
High elevation,5,D,9,D9,VIL-5,VIL,Vercors,1980,South,I,3208.8,43,4031.449,1674.8,7850,25,2441.8,5940.72,34
High elevation,2,D,14,D14,CHA-10,CHA,Vercors,1480,North,I,1193.4,35,984.889,1197.2,4945.5,35,1195.3,2965.2,35
High elevation,2,D,11,D11,F005-19,F005,Vercors,1842,NA,R,754,20,1005.31,4934.8,1589.625,50,2844.4,1297.47,35
High elevation,3,B,4,B4,F005-14,F005,Vercors,1842,NA,I,0,35,353.429,,,,0,353.43,35
High elevation,4,C,13,C13,GAL-20,GAL,Lautaret,2590,North,TR,760,35,1079.922,,,,760,1079.92,35
High elevation,4,C,11,C11,GAL-2,GAL,Lautaret,2590,North,R,1512,40,1130.973,648.5333333,4239,30,1080.27,2684.99,35
High elevation,5,B,4,B4,GAL-20,GAL,Lautaret,2590,North,R,468,35,2104.082,,,,468,2104.08,35
High elevation,5,E,10,E10,BRU-20,BRU,Vercors,930,South,I,4305,20,640.885,5642,6044.5,50,4973.5,3342.69,35
Low elevation,1,A,18,A18,GAL-19,GAL,Lautaret,2590,North,TR,4250,35,2199.115,,,,4250,2199.12,35
Low elevation,1,D,10,D10,GAL-19,GAL,Lautaret,2590,North,TR,4719.6,35,1963.495,,,,4719.6,1963.5,35
Low elevation,2,B,18,B18,GAL-18,GAL,Lautaret,2590,North,TR,616,35,2042.035,,,,616,2042.04,35
Low elevation,2,B,16,B16,LAU-1,LAU,Lautaret,2090,North,TR,17157,35,3573.562,,,,17157,3573.56,35
Low elevation,2,C,10,C10,GAL-19,GAL,Lautaret,2590,North,TR,7474.133,35,7068.583,,,,7474.13,7068.58,35
Low elevation,2,C,3,C3,PIC-13,PIC,Lautaret,2930,South,TR,7607.6,35,3023.783,,,,7607.6,3023.78,35
Low elevation,3,A,11,A11,BRU-19,BRU,Vercors,930,South,I,11420.8,35,8639.38,,,,11420.8,8639.38,35
Low elevation,3,B,19,B19,BRU-1,BRU,Vercors,930,South,NR,14069.733,35,6911.504,,,,14069.73,6911.5,35
Low elevation,3,D,1,D1,BRU-18,BRU,Vercors,930,South,NR,17669.6,35,17082.41,,,,17669.6,17082.41,35
Low elevation,3,E,9,E9,F005-30,F005,Vercors,1842,NA,NR,19027.2,35,9935.287,,,,19027.2,9935.29,35
High elevation,1,C,12,C12,VIL-12,VIL,Vercors,1980,South,R,3102,31,2770.885,1331.2,4337.125,40,2216.6,3554.01,35.5
