Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,5,C,9,C9,CHA-17,CHA,Vercors,1480,North,I,2401.2,22,2144.137,344.4,392.5,5,1372.8,1268.32,13.5
High elevation,1,B,18,B18,bordure,bordure,NA,NA,NA,R,172.2,14,596.903,,,,172.2,596.9,14
High elevation,1,D,10,D10,bordure,bordure,NA,NA,NA,NA,238,14,803.462,,,,238,803.46,14
High elevation,1,E,15,E15,F029-30,F029,Lautaret,1894,NA,R,442.8,14,1553.518,,,,442.8,1553.52,14
High elevation,1,E,8,E8,F005-19,F005,Vercors,1842,NA,NA,847.6,14,774.403,,,,847.6,774.4,14
High elevation,1,E,3,E3,bordure,bordure,NA,NA,NA,R,720,14,628.319,,,,720,628.32,14
High elevation,2,B,1,B1,FGAL-128,FGAL,Lautaret,2600,North,NA,0,14,412.334,,,,0,412.33,14
High elevation,3,C,16,C16,bordure,bordure,NA,NA,NA,NA,331.2,14,604.757,,,,331.2,604.76,14
High elevation,5,A,3,A3,BRU-14,BRU,Vercors,930,South,I,1299.6,14,779.115,,,,1299.6,779.12,14
High elevation,5,E,1,E1,bordure,bordure,NA,NA,NA,NA,363,23,78.54,444.8,274.75,5,403.9,176.65,14
High elevation,1,C,6,C6,CHA-15,CHA,Vercors,1480,North,I,4366,19,2297.29,2826,1785.875,10,3596,2041.58,14.5
High elevation,3,B,15,B15,VIL-7,VIL,Vercors,1980,South,R,212.8,19,462.6,1246.4,1236.375,10,729.6,849.49,14.5
High elevation,3,D,14,D14,BRU-9,BRU,Vercors,930,South,NR,954,19,125.664,341,235.5,10,647.5,180.58,14.5
High elevation,3,E,14,E14,F107-8,F107,Vercors,1704,NA,NR,1419.6,14,794.823,,588.75,15,1419.6,691.79,14.5
High elevation,5,A,17,A17,CHA-12,CHA,Vercors,1480,North,NR,1995,19,911.847,1494.6,1413,10,1744.8,1162.42,14.5
High elevation,1,A,13,A13,BRU-8,BRU,Vercors,930,South,R,1395,15,500.299,,,,1395,500.3,15
High elevation,2,A,2,A2,CHA-12,CHA,Vercors,1480,North,R,0,15,400.553,,,,0,400.55,15
High elevation,2,B,18,B18,FGAL-129,FGAL,Lautaret,2600,North,R,1337.6,15,1075.21,,,,1337.6,1075.21,15
High elevation,2,C,13,C13,BRU-16,BRU,Vercors,930,South,I,249,15,471.239,,,,249,471.24,15
High elevation,2,C,11,C11,bordure,bordure,NA,NA,NA,R,0,15,492.445,,,,0,492.45,15
High elevation,2,D,4,D4,FGAL-130,FGAL,Lautaret,2600,North,TR,400,15,1470.265,,,,400,1470.27,15
High elevation,2,E,4,E4,F005-18,F005,Vercors,1842,NA,I,3065.2,20,1347.743,10,176.625,10,1537.6,762.18,15
High elevation,4,D,8,D8,F029-25,F029,Lautaret,1894,NA,R,336.6,15,395.841,,,,336.6,395.84,15
High elevation,5,A,7,A7,PIC-4,PIC,Lautaret,2930,South,NA,0,15,451.604,,,,0,451.6,15
High elevation,5,C,2,C2,LAU-2,LAU,Lautaret,2090,North,I,0,15,455.531,,,,0,455.53,15
High elevation,5,E,4,E4,bordure,bordure,NA,NA,NA,NA,580.8,15,1551.947,,,,580.8,1551.95,15
Low elevation,1,C,17,C17,LAU-14,LAU,Lautaret,2090,North,NA,,15,78.54,,,,,78.54,15
Low elevation,1,E,9,E9,FGAL-Q,FGAL,Lautaret,2600,North,NA,,15,39.27,,,,,39.27,15
Low elevation,2,A,12,A12,LAU-11,LAU,Lautaret,2090,North,S,85,15,78.54,,,,85,78.54,15
Low elevation,2,C,9,C9,VIL-8,VIL,Vercors,1980,South,S,0,15,490.874,,,,0,490.87,15
Low elevation,2,D,6,D6,F005-25,F005,Vercors,1842,NA,NR,21440.333,15,7068.583,,,,21440.33,7068.58,15
Low elevation,2,E,12,E12,F107-40,F107,Vercors,1704,NA,S,13,15,78.54,,,,13,78.54,15
Low elevation,3,A,14,A14,LAU-10,LAU,Lautaret,2090,North,S,288,15,157.08,,,,288,157.08,15
Low elevation,3,D,19,D19,F005-38,F005,Vercors,1842,NA,S,774,15,176.715,,,,774,176.72,15
High elevation,2,B,9,B9,FGAL-123,FGAL,Lautaret,2600,North,TR,268.4,16,501.084,192,961.625,15,230.2,731.36,15.5
High elevation,3,C,5,C5,VIL-19,VIL,Vercors,1980,South,I,576,21,537.212,1353,942,10,964.5,739.61,15.5
High elevation,5,C,10,C10,VIL-11,VIL,Vercors,1980,South,I,901.6,21,1714.524,301.4,628,10,601.5,1171.26,15.5
High elevation,5,E,3,E3,BRU-8,BRU,Vercors,930,South,I,1107,16,644.026,0,628,15,553.5,636.01,15.5
High elevation,1,A,6,A6,VIL-1,VIL,Vercors,1980,South,NR,1912.6,16,1237.002,,,,1912.6,1237,16
High elevation,2,D,15,D15,GAL-18,GAL,Lautaret,2590,North,TR,1091.2,16,659.734,,,,1091.2,659.73,16
High elevation,2,E,14,E14,PIC-11,PIC,Lautaret,2930,South,R,268.2,16,381.704,,,,268.2,381.7,16
High elevation,2,E,7,E7,GAL-7,GAL,Lautaret,2590,North,R,0,16,1077.566,,,,0,1077.57,16
High elevation,3,A,15,A15,F107-5,F107,Vercors,1704,NA,NR,602.6,17,320.442,1868.8,981.25,15,1235.7,650.85,16
High elevation,3,A,13,A13,FGAL-131,FGAL,Lautaret,2600,North,R,348,17,571.77,0,686.875,15,174,629.32,16
High elevation,3,A,9,A9,VIL-13,VIL,Vercors,1980,South,I,504,17,777.544,2534.192,1413,15,1519.1,1095.27,16
High elevation,3,A,5,A5,LAU-13,LAU,Lautaret,2090,North,R,446.4,16,1339.104,,,,446.4,1339.1,16
High elevation,3,D,15,D15,GAL-6,GAL,Lautaret,2590,North,R,431.2,17,569.414,236.25,1884,15,333.73,1226.71,16
High elevation,3,D,13,D13,CHA-10,CHA,Vercors,1480,North,NR,1296,16,219.126,,,,1296,219.13,16
High elevation,3,E,18,E18,F107-41,F107,Vercors,1704,NA,I,1092,22,667.588,2570.4,3061.5,10,1831.2,1864.54,16
High elevation,4,A,18,A18,F107-43,F107,Vercors,1704,NA,NA,0,16,1470.265,,,,0,1470.27,16
High elevation,4,C,20,C20,BRU-13,BRU,Vercors,930,South,I,920,17,565.487,459,1236.375,15,689.5,900.93,16
High elevation,4,C,12,C12,bordure,bordure,NA,NA,NA,NR,864,16,502.655,,,,864,502.66,16
High elevation,4,D,17,D17,BRU-16,BRU,Vercors,930,South,NR,1243.2,16,643.241,,,,1243.2,643.24,16
High elevation,5,E,12,E12,F005-25,F005,Vercors,1842,NA,NR,,16,933.053,,,,,933.05,16
High elevation,3,E,17,E17,F107-42,F107,Vercors,1704,NA,I,533.6,8,109.956,2745.6,2158.75,25,1639.6,1134.35,16.5
High elevation,1,A,3,A3,F107-45,F107,Vercors,1704,NA,NR,4698,17,2155.133,,,,4698,2155.13,17
High elevation,1,C,13,C13,bordure,bordure,NA,NA,NA,R,63,17,921.272,,,,63,921.27,17
High elevation,1,D,7,D7,F107-8,F107,Vercors,1704,NA,I,2553,17,2459.867,,,,2553,2459.87,17
High elevation,3,B,17,B17,F107-45,F107,Vercors,1704,NA,NR,1066,17,492.445,,,,1066,492.45,17
High elevation,3,B,7,B7,PIC-14,PIC,Lautaret,2930,South,NR,621,17,486.947,,,,621,486.95,17
High elevation,3,C,9,C9,CHA-9,CHA,Vercors,1480,North,NR,1037.4,14,389.557,743.6,942,20,890.5,665.78,17
High elevation,3,E,4,E4,F029-26,F029,Lautaret,1894,NA,R,0,17,402.909,,,,0,402.91,17
High elevation,4,E,10,E10,FGAL-J,FGAL,Lautaret,2600,North,R,135.6,17,510.509,,,,135.6,510.51,17
High elevation,1,B,3,B3,VIL-11,VIL,Vercors,1980,South,R,912,25,2605.951,612,2355,10,762,2480.48,17.5
High elevation,2,D,1,D1,PIC-4,PIC,Lautaret,2930,South,R,0,20,412.334,0,588.75,15,0,500.54,17.5
