energy.exp,lifespan
1.636,244
1.812,379
1.958,407
1.976,379
1.988,379
2.073,397
2.222,305
2.271,308
2.353,295
2.21,382
2.228,464
1.903,470
1.739,540
1.973,523
2.012,549
2.118,573
2.148,571
2.145,590
2.303,523
2.434,543
2.467,525
2.501,534
2.661,623
3.055,763
2.618,925
2.153,986
2.336,834
2.448,764
2.337,590
2.318,569
2.27,618
2.315,645
2.197,640
2.215,647
2.251,688
2.194,695
2.169,684
2.069,658
1.975,707
1.893,685
