son.red,dau.pre,sex,sey
0.750320736,-12.6487224,0.022775206,8.41407702
0.752767119,-10.23858956,0.016318107,12.01980601
0.764081797,-0.519103717,0.023540064,15.32567829
0.764510123,-0.968782366,0.023795584,11.86977125
0.770746745,5.958354418,0.015212177,13.52249457
0.776242345,9.728376787,0.016147003,16.3018619
