SEX,Survival,pop.size,pop.size.prev,Fhat3,MatFhat3,Density
1,1,321,414,0.0150971,-0.00971986,Low
2,1,321,414,-0.00797301,-0.00971986,Low
2,1,321,414,-0.0266288,-0.00971986,Low
1,1,321,414,-0.027793,-0.00584356,Low
2,0,321,414,-0.00674157,-0.00218145,Low
1,1,321,414,0.0373364,-0.00218145,Low
1,1,321,414,-0.00651364,0.0204674,Low
2,1,321,414,-0.00735312,0.0204674,Low
1,1,321,414,0.0285353,0.00563373,Low
1,1,321,414,0.0336029,0.00140208,Low
1,1,321,414,0.00125462,-0.017113,Low
1,1,321,414,-0.0437647,-0.0115608,Low
1,1,321,414,0.00597067,-0.0115608,Low
1,1,321,414,-0.00640902,-0.045707,Low
1,1,321,414,0.00483539,-0.045707,Low
1,0,321,414,-0.00889823,-0.00272991,Low
2,1,321,414,-0.0486158,-0.00272991,Low
2,1,321,414,0.0386944,-0.0196544,Low
1,1,321,414,0.0129887,-0.0196544,Low
1,1,321,414,0.0157588,0.0365382,Low
2,1,321,414,-0.00995659,0.0365382,Low
2,1,321,414,-0.0182608,0.0365382,Low
1,1,321,414,-0.0237038,0.0566218,Low
2,0,321,414,0.0282013,0.0566218,Low
2,1,321,414,0.00387034,-0.0427533,Low
2,1,321,414,-0.0265362,-0.0300859,Low
1,1,321,414,-0.000918347,-0.0300859,Low
1,0,321,414,0.024296,-0.0170812,Low
1,1,321,414,0.000887011,-0.00115031,Low
1,1,321,414,-0.0386274,-0.0203743,Low
2,0,321,414,-0.038627,0.02911,Low
2,1,321,414,-0.00816625,0.02911,Low
1,1,321,414,0.00735729,0.02911,Low
2,1,321,414,0.0296545,0.02911,Low
1,1,321,414,-0.0367599,0.0444078,Low
2,0,321,414,-0.00888936,0.0444078,Low
2,1,321,414,-0.0176379,0.016204,Low
1,1,321,414,0.00294973,-0.0258393,Low
1,1,321,414,0.0108961,-0.0258393,Low
2,1,321,414,-0.0461168,-0.0258393,Low
1,1,321,414,-0.00914648,0.00420851,Low
2,1,321,414,-0.00133707,-0.0166915,Low
1,1,321,414,-0.0199272,0.0305395,Low
1,1,321,414,-0.0447254,0.0305395,Low
2,1,321,414,-0.0120809,-0.0502031,Low
2,1,321,414,-0.0303941,0.00410781,Low
2,1,321,414,-0.0668126,0.00410781,Low
1,1,321,414,-0.000163349,-0.0143185,Low
2,1,321,414,0.0122086,-0.0143185,Low
1,1,321,414,0.0164487,0.00303551,Low
1,1,321,414,0.0021071,0.0121915,Low
2,1,321,414,-0.0173945,0.0121915,Low
1,1,321,414,0.15687,-0.04501,Low
2,1,321,414,-0.0473316,-0.04501,Low
1,1,321,414,0.00748271,0.044664,Low
1,1,321,414,-0.00987498,0.044664,Low
2,1,321,414,-0.0200838,-0.00223706,Low
1,1,321,414,0.00679361,-0.00223706,Low
1,1,321,414,0.00748992,-0.00223706,Low
1,1,321,414,0.0188523,-0.0465336,Low
2,1,321,414,-0.00867426,0.00194445,Low
1,1,321,414,-0.0206908,0.00194445,Low
1,1,321,414,0.0209299,-0.0177367,Low
2,1,321,414,0.00658224,-0.0174793,Low
1,1,321,414,0.0164089,-0.0203103,Low
1,1,321,414,-0.0329796,-0.0219129,Low
1,1,321,414,0.034071,-0.0219129,Low
